Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,40,0.03333333333333333,0,0,1.05569155370096,1.0160686215977583,0.9161726528215649,1.1035081891538965,0.4621062568899932,N/A,1
2,47,10.241134751773023,7,0,1.064242917745155,1.0148271600453154,0.9040936685552502,1.107589968902161,0.4699601612127856,N/A,2
3,74,16.842792792792977,27,0,1.0502481064782752,1.0270886439830296,0.8976568233075118,1.1101680500646391,0.4734555890793164,N/A,3
4,65,15.915897435897575,25,34,1.0704435314369245,1.0476267854970769,0.8593996136395812,1.1376689899702794,0.5051184191432023,N/A,4
5,56,17.78452380952399,16,25,1.06799177575721,1.0412408865363805,0.8436301633694702,1.134417814293796,0.5126496763514166,N/A,5
6,56,19.031547619047835,22,22,1.0790923913108759,1.0682362314400569,0.8065234863899384,1.1492072507701752,0.5449786942186738,N/A,6
7,50,17.798000000000208,22,28,1.0627125739555123,1.0692852062811204,0.7902981665520505,1.1318385859020388,0.5506506285474992,N/A,7
8,42,17.689682539682735,16,24,1.0599234790344243,1.0711573790936404,0.7909597439704306,1.0858776411031208,0.5422877752847135,N/A,8
9,48,20.517361111111345,17,11,1.0681941994545643,1.0605626498475045,0.7734988504343486,1.0548419566373999,0.5487788903028981,N/A,9
10,35,18.268571428571626,12,25,1.0585567006976384,1.0416960971155496,0.7695449613940898,1.0486249998238903,0.5455826417961154,N/A,10
11,26,24.911538461538743,8,17,1.0588454325115733,1.032124256803577,0.7556296032072457,1.0507106812648774,0.5543598534247054,N/A,11
