Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,40,0.03333333333333333,0,0,1.0738448631867468,1.0597119804621775,1.0069389129749322,1.1440321576921448,0.43400037600528735,N/A,1
2,46,10.463768115942,6,0,1.07349785075834,1.0558817689478543,1.004285946982983,1.130552985449307,0.43280271121304964,N/A,2
3,63,18.70793650793673,17,0,1.0638880879622366,1.0464696671647071,0.9910923859768177,1.1325786208976252,0.4362777102531285,N/A,3
4,39,24.091452991453277,4,28,1.0605238198688947,1.0180962962199815,0.9193323634069205,1.107442245099277,0.46208349856281067,N/A,4
