Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,20,0.03333333333333333,0,0,1.0884229298632797,0.9832282016714329,1.0288447390022863,1.1151842960374136,0.41299855482082215,N/A,1
2,22,10.939393939393911,2,0,1.0752563223033968,0.9691939000020473,1.029333584509938,1.109545018816613,0.4085485066694763,N/A,2
3,32,21.479166666666988,10,0,1.1074268775330884,0.9687324125483429,1.008191768347051,1.1131530717888294,0.4217864711854965,N/A,3
4,25,23.845333333333578,6,13,1.1437589744951415,0.8901944121121343,0.9703240623272126,1.119751162227553,0.43335412999667006,N/A,4
