Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,20,0.03333333333333333,0,0,1.0410439002309082,0.9964694584588079,0.9349516132316655,1.1217486350688686,0.4505419601824566,N/A,1
2,24,10.027777777777752,4,0,1.0411438793919865,0.9932579184486321,0.910501626557306,1.0905634170040914,0.45761810467203706,N/A,2
3,36,19.383333333333585,14,2,1.0144953023938084,0.983119600843622,0.8755808872662553,1.0691378950600472,0.46700468118142907,N/A,3
4,30,18.86000000000021,10,16,0.9261747996162284,0.9518263015357793,0.8205790704949614,1.0350697696176252,0.47333579834258765,N/A,4
5,25,21.40800000000024,8,13,0.8788261013135119,0.9310962945111565,0.8077583004891277,1.0164659989084952,0.46654028282497884,N/A,5
6,20,18.626666666666857,7,12,0.8613635298019677,0.9262898070558286,0.7809206713453014,1.0202133216646392,0.4794113344334604,N/A,6
7,18,16.624074074074215,8,10,0.848341500552556,0.9067398200657549,0.7701143243945591,1.0602943674394647,0.48743857007137914,N/A,7
8,21,17.0428571428573,8,5,0.8079284883863868,0.9409048669936618,0.773156934632994,1.1015158914030931,0.4915516491075058,N/A,8
9,24,15.780555555555722,10,7,0.7828947175145564,0.9727865942354387,0.7523636179606541,1.1309038718627928,0.511558527411187,N/A,9
10,27,14.58271604938285,12,9,0.7654945140974937,0.9870474685573097,0.7309644772106794,1.119956992049379,0.5239650834407132,N/A,10
11,37,15.716216216216354,16,6,0.7703818007239274,1.0148917467858858,0.7270248030995012,1.1128648038928872,0.531506552742476,N/A,11
12,54,15.246296296296427,30,13,0.7650237902557252,1.0158087089995353,0.7193532350006266,1.1009400167145127,0.5341413880793929,N/A,12
13,76,13.889473684210644,37,15,0.7644069698527666,1.0085031421023716,0.7182468378484019,1.0806684818886243,0.5297303458872186,N/A,13
14,109,12.581345565749324,57,24,0.776065429295791,0.9988657047063955,0.7167627800250307,1.070053921261435,0.5292285694418581,N/A,14
15,175,13.19009523809534,94,28,0.7812368777369529,1.0019386602124516,0.7256214684647507,1.0623767634991979,0.5228717589202796,N/A,15
16,282,12.253546099290869,155,48,0.7856958225183154,1.0102453465900916,0.7267798288210339,1.049162193300599,0.5219560311727912,N/A,16
17,456,11.781871345029312,252,78,0.7908218504403043,1.0051499945187474,0.725103012552658,1.0409945097051156,0.5216668170916186,N/A,17
18,771,11.738478166882906,431,116,0.7937981433781657,1.0053857097160726,0.7270721932454568,1.0391951517823022,0.5205130075106246,N/A,18
19,1323,11.447921390778598,759,207,0.7943993380645752,1.0056131387382308,0.7277078111951872,1.0402494624966898,0.5204033625592392,N/A,19
20,2272,11.056822183098644,1335,386,0.7967280985049093,1.0056319498001864,0.7283041023050302,1.0373504732519914,0.5198763378410396,N/A,20
21,3891,10.404069219566555,2406,787,0.8003902697905944,1.0077754811274389,0.7299782309619586,1.0385126473001358,0.519956765371271,N/A,21
22,1992,9.30075301204817,2269,4168,0.7990576073159027,1.0079594666042462,0.7327452262944819,1.04344142153674,0.5186811446722996,Zombie Outbreak,1
23,4710,11.082356687898162,3013,295,0.8014886560700898,1.0055161891289117,0.7305291969328684,1.0420445983661362,0.5199973673015653,N/A,2
24,6510,9.807598566308256,3904,2104,0.8034984779978265,1.007173940721261,0.7338843774053313,1.0392407025882209,0.5177769521648183,N/A,3
