Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Var_Vision,Var_Speed,Var_Metabolism,Var_Memory,Avg_Fitness,Disaster
1,35,0.03333333333333333,0,0,1.0737059987703137,1.011823325632367,1.0040034627102599,1.1525043649463949,0.036669158652395804,0.041378148814582516,0.03333214049124088,0.05759211249202478,0.4300162711402285,N/A
2,41,10.272357723577208,6,0,1.0780973993117113,1.0208286424033122,1.012470543832871,1.1716799851842032,0.03438056459090698,0.04188779866246573,0.034768200053541115,0.061569957579989495,0.43070962038629695,N/A
3,51,19.373856209150564,10,0,1.0931707621522375,1.0129899877928805,0.9900668806598155,1.1721555997045088,0.03797212047044979,0.04389792990444926,0.036623347271731825,0.061313437473426824,0.44149426181052087,N/A
4,7,30.947619047619177,5,49,1.265232046206216,0.9235436308718644,0.7408467922688421,1.1620607227830093,0.017855361465657308,0.03168842247935351,0.0007933684212746601,0.03526606682591793,0.6030642115354079,N/A
