Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,20,0.03333333333333333,0,0,1.0295223821168733,1.142247865911126,1.0810235009484805,1.001369195667611,0.39137470997457824,N/A,1
2,22,10.939393939393911,2,0,1.0559769910034482,1.1578521042988423,1.0821684753724852,0.9959456178536552,0.3954744307320704,N/A,2
3,30,19.703333333333582,8,0,1.0625957802704171,1.1340387102498137,1.0720178552805821,1.0153932484206523,0.39949928360104175,N/A,3
4,16,22.954166666666943,3,17,1.1407589377607064,1.1388520052295368,1.0042844526903634,0.9970383888383008,0.4350227432146042,N/A,4
