Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Var_Vision,Var_Speed,Var_Metabolism,Var_Memory,Avg_Fitness,Disaster
1,10,0.03333333333333333,0,0,0.9758972480812499,1.0800289669849317,0.9683343892145027,1.2097283191192223,0.06427667772937126,0.02587224430273837,0.02636460718682308,0.02605721548201471,0.449659342276649,N/A
2,12,10.055555555555529,2,0,0.9644672909215756,1.0983745756606538,0.9556168603635782,1.1890920518966237,0.05753723347433068,0.02324301037402896,0.022912452828415822,0.023843623859424765,0.4537291116499847,N/A
3,15,23.360000000000404,3,0,0.9233085157239935,1.133478399877604,0.9544060199911023,1.1950138096753815,0.05282848628392115,0.02422561666815695,0.01976648090898464,0.02626845486802768,0.45428614337635115,N/A
