Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness
1,20,0.03333333333333333,0,0,0.9861257667471474,1.0613783984507683,0.969388072297823,1.0825152923541579,1.0248518824624742
2,27,14.814814814814929,7,0,1.0075153090509001,1.0156275783892772,0.9230433885095141,1.126501287466763,1.0181718908541137
3,19,28.42105263157916,2,10,1.0013647968341088,0.9302722675236756,0.8341270910910681,1.2161037201553166,0.9954669689010424
4,14,27.37857142857162,5,10,1.0959944528699441,0.9088726829147443,0.7748855064002961,1.3067884010284587,1.0216352608033608
5,19,20.480701754386068,12,7,1.1034281120644356,0.9374101788986926,0.7671749376657757,1.2718034818519723,1.0199541776202192
6,18,25.84629629629658,5,6,1.125702019406564,0.934580426727302,0.7595788734380229,1.261632198295242,1.0203733794667826
7,16,19.485416666666836,10,12,1.1036560524304273,0.916382230659421,0.7512465092315759,1.4014361307592929,1.0431802307701792
8,15,24.820000000000228,5,6,1.0985511384674325,0.9003833869949254,0.7421718102682212,1.4401031392879802,1.0453023687546399
9,17,22.41764705882364,9,7,1.1817487541640281,0.9251871419135416,0.7284141868989105,1.4013320238161746,1.0591705266981637
10,22,22.571212121212312,13,8,1.227182327322481,0.9470778592849052,0.721956417149158,1.3982166612622153,1.0736083162546897
11,21,23.02539682539696,9,10,1.2398044148533718,0.9226202089150808,0.7197980158097187,1.334130180029219,1.0540882049018476
12,32,22.917708333333426,18,7,1.2476132207679467,0.9424438053989243,0.714715522246167,1.3485445817274064,1.063329282535111
13,47,21.044680851063962,31,16,1.2627624441111154,0.9834038271379351,0.7077410166615353,1.3522103916433093,1.0765294198884736
14,74,21.51846846846862,48,21,1.2671789831525369,1.016644522876876,0.7059235273375628,1.373264950934204,1.0907529960752949
15,112,19.742261904762067,75,37,1.2599484486420278,1.0212970948172948,0.7084550939044325,1.3284989353778642,1.0795498931854048
16,191,19.39720767888323,135,56,1.2556495539467751,1.0274770225737377,0.7111063934270015,1.324316486329345,1.079637364069215
17,338,18.383136094674693,250,103,1.2525899011112818,1.0301545732248902,0.712139476568823,1.310944691305855,1.0764571605527125
18,667,16.91939030484773,483,154,1.2499824773782449,1.0334875534846117,0.7139108915497819,1.3131166728879045,1.0776243988251357
19,1396,16.10604106972318,976,247,1.2472676715067375,1.034557603340498,0.7140981049554277,1.3108520231637315,1.0766938507415986
20,2890,15.062226066897512,1976,482,1.2445897421978596,1.0327468173230014,0.7140291895954551,1.3078726742771127,1.0748096058483572
21,6221,13.640733001125371,4323,992,1.240651300902382,1.0326173195154802,0.7152150633839391,1.3001610472841123,1.0721611827714783
22,13118,13.059216343955017,8942,2045,1.2365851069418918,1.031732443888037,0.7163692926058861,1.2961441804749814,1.070207755977699
23,27091,12.680571653562819,18508,4535,1.2334417268670597,1.0317965059482406,0.7167509303453043,1.2938416575303482,1.0689577051727381
