Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster
1,10,0.03333333333333333,0,0,1.061180050393645,0.9929470447198787,1.0539155586373528,1.1027607995868212,1.0527008633344244,N/A
2,13,9.256410256410232,3,0,1.0575773724223059,0.9680039657054134,0.9796501991657448,1.144481423567557,1.0374282402152553,N/A
3,17,18.284313725490396,4,0,1.0797184432944353,1.0121046185017903,0.9332170205808886,1.081497328421922,1.026634352699759,N/A
4,13,20.230769230769496,7,11,1.164092602484596,1.1132359258192863,0.7565039965004454,1.0085696100416384,1.0106005337114914,N/A
5,10,19.286666666666974,2,5,1.243292102132529,1.2033459681433951,0.7565680261282545,0.9260754420031269,1.0323203846018263,N/A
6,10,9.32000000000006,6,6,1.3357350641262953,1.2957630700794915,0.7442455627898263,0.8451719775633523,1.0552289186397414,N/A
7,16,9.756250000000053,8,2,1.3218325269680051,1.2797680870510066,0.7424311955287739,0.8446160058278681,1.0471619538439134,N/A
8,27,12.235802469135912,13,2,1.3068741506175294,1.2791185890361112,0.7446906607156315,0.8449590008013252,1.0439106002926493,N/A
9,55,10.647878787878856,34,6,1.300198997235037,1.262764216988637,0.7537712310403727,0.8536696649092137,1.042601027543315,N/A
10,109,11.108868501529123,63,9,1.2852994153982484,1.2598377593737475,0.7504671587572223,0.8610034448894471,1.0391519446046664,N/A
11,231,11.2194805194806,138,16,1.2822487570930052,1.260476000857211,0.7532492417372896,0.8650661659824356,1.0402600414174854,N/A
12,502,10.950531208499404,309,38,1.276856910608189,1.2598011182811275,0.7556235195423406,0.8657722192351067,1.0395134419166911,N/A
13,1153,10.936108701937043,724,73,1.2782461914982495,1.25887389294973,0.7563750998487068,0.8675317096796432,1.0402567234940825,N/A
14,2720,10.797843137254965,1736,169,1.272265499503374,1.2599697397825438,0.7575914612803777,0.8680241892870699,1.0394627224633413,N/A
15,6650,10.560115288220612,4313,383,1.267594907602829,1.2587065440696732,0.7564064808935423,0.8698168090094567,1.0381311853938753,N/A
16,3764,9.836592277718713,5974,8860,1.263543368021072,1.2597828740444195,0.7547571038958664,0.8685409709351543,1.036656079224128,Tsunami
17,14176,10.1540373401054,10412,0,1.260812628098023,1.2576867185020544,0.7551740688312685,0.8697146194902498,1.0358470087303988,N/A
18,4382,7.859668340179502,1987,11781,1.251743797271442,1.2600489216448465,0.7471992431172301,0.876332463798619,1.0338311064580343,Global Warming
19,12032,10.50038508421993,7650,0,1.2503749777439237,1.258079123207873,0.7472346562684465,0.8766200296759232,1.0330771967240415,N/A
20,4439,7.935465945783565,2045,9638,1.2492611249558039,1.2584101282749711,0.7486189165674664,0.875444690409794,1.0329337150520088,Tornado
21,12333,10.4853617665343,7894,0,1.2476372208795583,1.257344340929362,0.7464944234969605,0.8768972735986127,1.0320933147261233,N/A
22,8368,8.054628744423182,4226,8191,1.2454793961986843,1.2557556988743368,0.7436113970206655,0.8811229814630067,1.0314923683891732,Fire Nation
23,23093,10.503077411625528,14726,1,1.2435592380589562,1.2545397210340454,0.74244898518265,0.8828996246876665,1.0308618922408295,N/A
24,15622,7.856542056074748,7945,15416,1.2408563489999753,1.25045659226794,0.7429549475089249,0.8878838159817207,1.0305379261896401,Thanos Snap
25,43251,10.259832142609488,27629,0,1.2386184832532894,1.2489846411818728,0.7414734115327875,0.888856699630715,1.0294833088996662,N/A
26,15006,7.33796703540804,6913,35158,1.2385798169044835,1.2465111808242615,0.7418090724196654,0.8921828071393443,1.0297707193219385,Avengers Woop-sie
27,41007,10.08478146007599,26001,0,1.2373008310781786,1.246118651885356,0.7406556985226922,0.8922038373903464,1.0290697547191434,N/A
28,12485,7.395114136964339,5722,34244,1.2314869732998979,1.2381064865751679,0.7497083872274052,0.8981196958618983,1.0293553857410924,Alien Invasion
29,33828,10.21052678254707,21343,0,1.2295959485786618,1.2378114878162314,0.7468418191138317,0.9000785597766588,1.0285819538213459,N/A
30,15838,7.885309592962055,7277,25267,1.226480805973307,1.2338856166567482,0.7473502802076959,0.9025982762142335,1.0275787447629963,Fire Nation
31,43781,10.497093107360188,27943,0,1.2256192660482934,1.2331647264858354,0.7445086758566717,0.9045421198769228,1.0269586970669309,N/A
32,21967,8.25160164489156,10119,31933,1.2218878751715785,1.2321799188959452,0.7439137264279063,0.906223309118504,1.0260512074034835,Fire Nation
33,62462,10.612238907922755,40495,0,1.218990333339136,1.2305333951894524,0.7410432391396506,0.9075942358442559,1.0245403008781238,N/A
34,41662,8.151186532891664,20998,41798,1.2152175152769171,1.2266450983809802,0.7388953474085732,0.9102243386940301,1.0227455749401253,Tsunami
35,116642,10.497339723255843,74981,1,1.2130092772491108,1.2248638195775883,0.7371317044434729,0.9116673510613267,1.0216680380828747,N/A
36,63907,8.071139833403727,30472,83207,1.2087839133070282,1.2220188615564047,0.7368134187699514,0.9141178917812265,1.0204335213536526,Plague
