Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,10,0.03333333333333333,0,0,1.146390608455964,1.0185362229094417,0.9667016101139432,1.1201622807912894,0.4530993607937252,N/A,1
2,12,10.027777777777752,2,0,1.167235138390536,1.0155280909969402,0.9435272403258362,1.1102669199977957,0.46535030237502734,N/A,2
3,21,15.425396825396986,9,0,1.1929557159559905,0.9968473731069372,0.903700917938073,1.0689761110513742,0.4808049706754292,N/A,3
4,15,15.822222222222344,4,10,1.224772146525947,1.002693988045886,0.8358325635358264,1.0343255137140965,0.5203261658830419,N/A,4
5,6,18.477777777777998,4,13,1.1782082332711044,1.048825346234315,0.7454719102359797,0.9825924194056755,0.5740660745388488,N/A,5
