Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness
1,15,0.03333333333333333,0,0,1.03495438526882,1.013766143606521,0.9496687563638747,1.0841429512849308,1.0206330591310366
2,21,14.285714285714395,6,0,1.082209803292526,1.0107758694913938,0.9084310207643682,1.052955068893289,1.0135929406103943
3,18,12.311111111111174,12,15,1.1964570111639483,0.925314107898285,0.8044818084943828,1.001133425520971,0.9818465882693967
4,22,20.493939393939556,10,6,1.2099953713004867,0.9140650772802666,0.7755515948610617,1.1086367948208202,1.0020622095656588
5,17,19.00980392156877,12,17,1.1955275068653772,0.9348843546414356,0.7388616417056953,1.224389476501746,1.0234157449285637
6,23,20.476811594203056,16,10,1.2014691495534795,0.9362325218449818,0.7291294012167677,1.2794046277066442,1.0365589250804683
7,26,19.14230769230787,15,12,1.2131664618453164,0.922635013706807,0.7131437112296517,1.2807946349755182,1.0324349554393233
8,28,19.307142857143017,16,14,1.2420184791807736,0.9227089868324756,0.7123619541587957,1.271674456209931,1.037190969095494
9,30,25.254444444444662,14,12,1.260223455260065,0.9216851376118389,0.7126520178268542,1.2965657989908377,1.047781602422399
10,35,21.049523809523944,25,20,1.2586368670563288,0.8932021456542069,0.7163315443457604,1.3090240697319677,1.044298656697066
11,51,24.155555555555758,28,12,1.240549821380277,0.8709545572996403,0.7149535209018248,1.3203523304948885,1.0367025575191575
12,68,21.317156862745236,51,34,1.2204281745345669,0.8555045047407631,0.7108569072034863,1.325311703270334,1.0280253224372875
13,116,20.48074712643692,83,35,1.1941671807405485,0.8619014831801016,0.7147582498363193,1.3276976041658977,1.0246311294807169
14,212,19.761163522012726,147,51,1.1863258910380952,0.8699821557621392,0.717739430629616,1.3388189790777743,1.0282166141269062
15,412,18.819902912621526,282,82,1.181394769415028,0.8629576185998837,0.7219702412143602,1.3293244339400359,1.023911765792327
16,831,17.46161251504229,572,153,1.181003845087847,0.8578205430080058,0.7205353415016295,1.318687090146229,1.019511704935928
17,1776,15.830705705705872,1233,288,1.1840072115237261,0.8591312050510058,0.7195851161078615,1.3159801142483663,1.0196759117327399
18,3807,14.610577007267478,2605,574,1.180087594845344,0.8617216450450872,0.7194861750879157,1.3143810163248084,1.0189191078257889
19,8206,13.372747583069449,5653,1254,1.1759446109204392,0.8647788504313093,0.7186439236356116,1.3115561171675478,1.017730875538727
20,17196,12.80510971543784,11659,2669,1.1734786831864357,0.8679439099177353,0.7186317654686735,1.3106390659091118,1.0176733561204891
21,35627,12.635429122107897,24222,5791,1.1713774421586514,0.8691850648207828,0.7188027893616735,1.3092225195437088,1.0171469539712041
