Generation,Population,Max_Age_Gen,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Min_Vision,Max_Vision,Min_Speed,Max_Speed,Min_Metabolism,Max_Metabolism,Min_Memory,Max_Memory
1,5,1,10.014,0,0,1.050181253,1.186522404,0.931072639,1.096036556,0.763397482,1.330696749,0.903517236,1.360156839,0.732362235,1.155145657,0.743427439,1.43320525
2,6,2,16.68,1,0,1.002383958,1.186501384,0.893721408,1.152231338,0.763397482,1.330696749,0.903517236,1.360156839,0.706965253,1.155145657,0.743427439,1.43320525
2,11,2,18.09590909,5,0,1.02786074,1.118689744,0.935692623,1.198937831,0.763397482,1.330696749,0.903517236,1.360156839,0.706965253,1.155145657,0.743427439,1.43320525
2,11,2,28.11490909,0,0,1.02786074,1.118689744,0.935692623,1.198937831,0.763397482,1.330696749,0.903517236,1.360156839,0.706965253,1.155145657,0.743427439,1.43320525
3,16,3,27.5829375,5,0,0.984599292,1.164562119,0.865367303,1.2721464,0.763397482,1.330696749,0.903517236,1.360156839,0.7,1.155145657,0.743427439,1.43320525
3,19,3,32.96921053,3,0,0.982927048,1.167681699,0.84302982,1.297576744,0.763397482,1.39523026,0.903517236,1.360156839,0.7,1.155145657,0.743427439,1.43320525
4,19,4,39.43984211,1,1,0.986234093,1.173115099,0.826258184,1.297576744,0.763397482,1.39523026,0.903517236,1.360156839,0.7,1.155145657,0.743427439,1.43320525
4,27,4,27.99540741,11,3,0.928745291,1.198005018,0.766646554,1.372111482,0.709538157,1.39523026,0.903517236,1.4,0.7,1.155145657,0.743427439,1.43320525
4,30,4,28.08753333,6,3,0.880006672,1.197562823,0.759938944,1.401213453,0.709538157,1.39523026,0.903517236,1.4,0.7,1.155145657,1.001564859,1.43320525
5,52,5,23.14594231,22,0,0.867506247,1.216050832,0.745165836,1.414549668,0.709538157,1.39523026,0.903517236,1.4,0.7,1.155145657,1.001564859,1.499118224
5,77,5,21.77320779,27,2,0.861113742,1.217960128,0.735048868,1.42569233,0.7,1.39523026,0.903517236,1.4,0.7,1.155145657,1.001564859,1.499118224
6,112,6,18.17976786,42,7,0.855679608,1.235216911,0.729849436,1.431797651,0.7,1.4,0.929649731,1.4,0.7,1.155145657,1.319319238,1.5
6,213,6,16.68276526,102,1,0.85782903,1.237918987,0.725862384,1.429353611,0.7,1.4,0.929649731,1.4,0.7,1.155145657,1.14422761,1.5
7,351,7,16.13915385,149,11,0.844635691,1.235601304,0.73144929,1.430810451,0.7,1.4,0.7,1.4,0.7,1.223573,1.14422761,1.5
7,627,7,15.89925359,283,7,0.851711672,1.236000269,0.731425943,1.430024181,0.7,1.4,0.7,1.4,0.7,1.223573,1.14422761,1.5
8,1245,8,15.13204578,627,9,0.849775027,1.233535072,0.729883611,1.429591737,0.7,1.4,0.7,1.4,0.7,1.223573,1.075115941,1.5
8,2136,8,15.66621067,927,36,0.84978789,1.235608205,0.731464287,1.42951052,0.7,1.4,0.7,1.4,0.7,1.223573,0.985282428,1.5
9,4328,9,14.7410975,2221,29,0.853190007,1.231757201,0.731795782,1.427703122,0.7,1.4,0.7,1.4,0.7,1.223573,0.857776834,1.5
9,8198,9,14.53081837,3981,111,0.854008556,1.231315524,0.731877075,1.427263477,0.7,1.4,0.7,1.4,0.7,1.209905066,0.857776834,1.5
10,15847,10,14.51576456,7797,148,0.856320995,1.230314786,0.732061281,1.425385336,0.7,1.4,0.7,1.4,0.7,1.286528824,0.738738338,1.5
