Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Var_Vision,Var_Speed,Var_Metabolism,Var_Memory,Avg_Fitness,Disaster
1,40,0.03333333333333333,0,0,1.0711320068238641,1.0179076621471201,1.021428316616494,1.1357028905802458,0.04297993499009913,0.03563396513589268,0.030485465685183843,0.05965639535689389,0.42094552071074587,N/A
2,50,9.626666666666642,10,0,1.0809771701020965,1.0033717844248444,1.0155840198502923,1.1424855774875058,0.04218712438232899,0.032753847168376225,0.03049096233511638,0.061588861118896,0.42364255035444087,N/A
3,62,18.993548387096993,12,0,1.0788142621164793,1.0097908691504285,1.005862805553286,1.1325430075270069,0.041059372632057396,0.03376168293216608,0.029351825236201123,0.06385454744655246,0.4269830996182541,N/A
4,39,24.35213675213704,7,30,1.0674014701796022,1.0317917385352973,0.941404935464354,1.1164540117244321,0.04279690048346366,0.031039115662385434,0.025402092784666482,0.07621810404705412,0.4554394677288993,N/A
