Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,30,0.03333333333333333,0,0,1.0122826231616853,1.0556842849618184,0.9368658557394937,1.08903607038964,0.4492998948458472,N/A,1
2,33,10.93939393939391,3,0,1.0169949254488162,1.0523406721125765,0.9364250405945201,1.1063081965030186,0.45216558099845344,N/A,2
3,44,19.500757575757827,11,0,1.0155195268365151,1.0305530789881054,0.9284461280792636,1.0899769184086532,0.4503653189113616,N/A,3
4,25,24.402666666666924,7,26,0.9993934658435277,0.99703147684525,0.8654616864162324,1.0910978161460851,0.4756648476059685,N/A,4
5,10,22.22000000000029,4,19,0.9011383154748159,0.8971049002497494,0.8370336441096711,1.00053849531223,0.4458254425386179,N/A,5
