Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,20,0.03333333333333333,0,0,0.9483646537838707,1.1114246229561298,1.0077610516232383,1.1635931609037422,0.4264744349138083,N/A,1
2,21,12.444444444444411,1,0,0.9492026654952406,1.0988406208978538,0.9931786901919782,1.1534244949796453,0.4297941297624776,N/A,2
3,27,20.266666666666968,6,0,0.9622847461108085,1.0927917062881325,0.9332536723961998,1.1462299255765325,0.4573685194302889,N/A,3
4,13,18.97692307692334,6,20,1.013074181176768,1.071218919691169,0.7239712439423456,1.0611382012518247,0.5792921249176488,N/A,4
