Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Var_Vision,Var_Speed,Var_Metabolism,Var_Memory,Avg_Fitness,Disaster
1,65,0.03333333333333333,0,0,1.0390634711339095,1.062462034787217,1.0083783059664058,1.0917739926846748,0.045419286099087255,0.04145695339953597,0.03398939157577861,0.044774426662976104,0.4222356470399495,N/A
2,81,9.65637860082302,16,0,1.0538882305019348,1.0712002452883551,1.0100381613609783,1.0933995067668385,0.04766697396069081,0.04456888797609859,0.03588235285267662,0.04868056778585111,0.4248668490202217,N/A
3,107,18.38504672897217,26,0,1.0631857910181646,1.0594717091190928,0.9884204321364777,1.0953306027891048,0.04436705529323821,0.04762075369917381,0.03631611088490121,0.04357352030059248,0.43409167439280305,N/A
4,91,23.070695970696242,20,36,1.0781558433923861,1.0660972204569719,0.9597206366158942,1.110670293464622,0.04213379980670823,0.04733970630781373,0.03793709199734179,0.040081611910402666,0.45220428155583325,N/A
5,53,23.932075471698433,11,49,1.1104617341855132,1.018392421033633,0.8612580642383706,1.1128628923449413,0.04972304927220956,0.05379131445685702,0.024493991883170724,0.03802565047699133,0.5018576401458037,N/A
6,37,26.11981981982012,5,21,1.1104005782170068,0.9951818646004011,0.8130257998532638,1.1190249906249428,0.05136477642433273,0.049648885704294904,0.01809259211767247,0.03953864123386402,0.5288241257164422,N/A
7,11,29.339393939394252,6,32,1.090034036207224,1.096293752750793,0.7872769776663417,1.06452407959986,0.045074371184095144,0.0678647432768352,0.0024829390440252864,0.045817087929325796,0.5505647035336241,N/A
