Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,10,0.03333333333333333,0,0,0.9582772887374883,1.1055318091150588,1.0012628742882126,1.0774509939826833,0.4183064105009479,N/A,1
2,12,10.027777777777752,2,0,0.9619355396648986,1.0668096035159673,0.9901010893787062,1.0656495748198822,0.4167109468175615,N/A,2
3,15,23.826666666667098,4,1,0.9332944266400973,1.05402266437536,0.9254653258949709,1.003247514202852,0.4308556314379882,N/A,3
4,12,18.533333333333562,6,9,0.9594828301405552,0.9649103528787638,0.802541219187039,0.8754678858844124,0.46516590084348064,N/A,4
5,14,16.18571428571449,7,5,0.9624462535921829,0.92729876916472,0.7755184106133902,0.886040554309435,0.4772352771304469,N/A,5
6,13,17.31794871794895,6,7,0.8924168746131975,0.8779562726203989,0.7756092599983725,0.9248658861615561,0.4633327926660404,N/A,6
7,14,15.645238095238268,8,7,0.8498803160160794,0.8825096510300966,0.7768455860497477,0.9497023724325603,0.46033898930796946,N/A,7
8,18,14.98148148148165,9,5,0.9042092360517557,0.885027884048168,0.7733364607550244,0.928104879828671,0.46850534669400307,N/A,8
9,21,15.00317460317476,8,5,0.9012037447540147,0.8964477170788518,0.7813069297149899,0.9020985741640207,0.46072376651972424,N/A,9
10,27,15.50246913580263,13,7,0.8938918512681252,0.9056492637694488,0.7970058357534678,0.913161318856115,0.45381557025935254,N/A,10
11,35,15.698095238095412,18,10,0.8981335632402458,0.9095536362886336,0.7973579506572065,0.9236342694979017,0.45672861927327935,N/A,11
12,43,14.475193798449752,20,12,0.8786445846682406,0.8986860033281371,0.787884618096019,0.9388048744400491,0.4596502922809802,N/A,12
13,54,16.05617283950635,21,10,0.8826769585019344,0.8821468172181386,0.7915624010802892,0.9399255890927125,0.45559673899307046,N/A,13
14,70,14.519523809523958,33,17,0.8882513087006787,0.880301009148147,0.7972864154550605,0.9324869039994867,0.45170537956244383,N/A,14
15,103,13.972491909385242,59,26,0.8858519909483709,0.8808146081246834,0.8011074979653631,0.9356901082728092,0.44977013517066566,N/A,15
16,148,13.389414414414523,77,32,0.9006680679216753,0.882919531702684,0.7838605383449003,0.9391002221916536,0.4631245293650309,N/A,16
17,233,13.845779685264791,120,35,0.8946367870498513,0.8725941949750136,0.7860998762577234,0.9329852237476055,0.45799374648202296,N/A,17
18,364,13.401465201465319,190,59,0.8932738566191356,0.8789782487866503,0.7754315084354482,0.9319323801062994,0.46497714818049146,N/A,18
19,569,13.199004100761679,294,89,0.8850657416872573,0.8797295701770551,0.7699424921070048,0.93503158677266,0.4675374115710375,N/A,19
20,957,13.063497039359214,523,135,0.8847337875191451,0.8846605829217662,0.7615880091913247,0.9392673903594956,0.4742129564559958,N/A,20
21,1620,12.455720164609145,895,232,0.8805944051616428,0.886129994927201,0.7582605074037241,0.9364097942604981,0.47532198902720024,N/A,21
22,2769,11.71504755025889,1593,444,0.8800042120995909,0.8875903223580126,0.7542425895011626,0.9392783642232612,0.4785149917475266,N/A,22
23,4670,10.618051391862995,2853,952,0.8824256544846021,0.8888037967825445,0.7514725566922812,0.9383724066355045,0.4807630624737416,N/A,23
24,2501,9.923363987738213,1285,3454,0.8880159308065614,0.8899034018261396,0.7510330754396546,0.9389854106217964,0.48234089498016175,Asteroid,1
25,5265,10.498024691358083,3513,749,0.8877597636566003,0.8913792812529577,0.7423919064017013,0.9386395069148415,0.4881121015084334,N/A,2
26,7860,9.288524173027994,5087,2492,0.8912112853261447,0.8920635267221572,0.7450772961532319,0.9392335522400115,0.4871992706160615,N/A,3
27,10377,8.87869968841347,6890,4373,0.89048202691601,0.894576868535215,0.7483489417307079,0.940239288375682,0.4855663860986391,N/A,4
