Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Var_Vision,Var_Speed,Var_Metabolism,Var_Memory,Avg_Fitness,Disaster
1,60,0.03333333333333333,0,0,1.073956929774277,1.0704410433621094,1.0444315749777884,1.0935482357404527,0.04385723957777735,0.03691780069156817,0.03032681579549685,0.046746707261523336,0.41335992852644265,N/A
2,78,9.256410256410232,18,0,1.0549870847537264,1.0564062538797414,1.0286250218057487,1.1087141258483737,0.0431427470082387,0.03505144412282284,0.03024426529376524,0.04787140529386787,0.41739958957754436,N/A
3,99,18.310437710437917,21,0,1.0642585564822298,1.0705976808028415,1.007844948434867,1.094212410058532,0.04196195806372069,0.0352112702225366,0.03024131196442488,0.0472914933380152,0.4271911934282069,N/A
4,68,23.8720588235297,9,40,1.059698885460272,1.066546463125225,0.9629553488332246,1.0681959257496605,0.04009230468097779,0.033000554705165774,0.02964999461517043,0.04527858132626972,0.4423107507121332,N/A
5,38,27.659649122807316,9,39,1.0710953383890411,1.0249863354654731,0.841136109664295,1.0512181909739287,0.03223069961375211,0.02987895624536943,0.013546313961284969,0.03891390303201586,0.4988966436652064,N/A
6,20,27.675000000000267,2,20,1.0313918351461715,1.0732955217594757,0.8360074357376543,1.0021399150587176,0.032808491624927584,0.025582932069160617,0.019151441794219175,0.030455022803808175,0.4955023347327119,N/A
7,11,29.94545454545478,3,12,1.059716245064502,1.0945596421606731,0.7991541491068748,1.111662981496105,0.01844476797477258,0.011995699800621118,0.01541529865842337,0.04627592053633255,0.5448992742090712,N/A
