Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,10,0.03333333333333333,0,0,1.0083232003657563,1.0301493529091514,0.9546289546313378,1.0965693737688071,0.4378723149392868,N/A,1
2,11,10.939393939393911,1,0,0.9889377683684516,1.0112023637500251,0.9365457252947795,1.1197379399383391,0.444168108086743,N/A,2
3,17,17.25882352941197,6,0,0.9760853196590664,1.0160454314300245,0.905581166192764,1.10254209343137,0.45564446494708744,N/A,3
4,11,20.251515151515466,4,10,0.855027443540179,0.9759901635179763,0.8367320254948097,1.0100645002598163,0.452726722654583,N/A,4
