Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,20,0.03333333333333333,0,0,1.0091246460098486,1.0945979263003678,1.0535364510722203,1.0712386571038452,0.4018163429381483,N/A,1
2,21,11.46031746031743,1,0,1.0068837134757758,1.0978969320283338,1.0453636031356706,1.0882907174424328,0.40726771729550837,N/A,2
3,29,20.912643678161217,8,0,1.0198422930906128,1.0981120232370793,1.0359496553425518,1.0998818014500664,0.41415604850202037,N/A,3
4,15,25.84888888888918,2,16,1.0174937093870693,1.1331416279722848,0.947739501670938,1.0958921613265649,0.4567397817595854,N/A,4
5,7,22.885714285714574,2,10,0.9242772235717969,1.202811980068066,0.8369940181188198,0.9932242427846572,0.4970666263442055,N/A,5
