Generation,Population,Max_Age_Gen,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Min_Vision,Max_Vision,Min_Speed,Max_Speed,Min_Metabolism,Max_Metabolism,Min_Memory,Max_Memory
1,5,1,5.01,0,0,1.00,0.93,0.90,1.12,0.76,1.38,0.70,1.33,0.78,1.13,0.84,1.41
1,5,1,10.02,0,0,1.00,0.93,0.90,1.12,0.76,1.38,0.70,1.33,0.78,1.13,0.84,1.41
1,5,1,15.04,0,0,1.00,0.93,0.90,1.12,0.76,1.38,0.70,1.33,0.78,1.13,0.84,1.41
2,8,2,12.56,3,0,1.09,0.87,0.86,1.16,0.76,1.38,0.70,1.33,0.70,1.13,0.84,1.41
2,13,2,11.86,5,0,1.01,0.92,0.87,1.08,0.76,1.38,0.70,1.40,0.70,1.13,0.84,1.41
2,17,2,13.15,4,0,0.99,0.89,0.86,1.12,0.76,1.38,0.70,1.40,0.70,1.13,0.84,1.41
2,17,2,18.15,0,0,0.99,0.89,0.86,1.12,0.76,1.38,0.70,1.40,0.70,1.13,0.84,1.41
2,17,2,23.18,0,0,0.99,0.89,0.86,1.12,0.76,1.38,0.70,1.40,0.70,1.13,0.84,1.41
3,23,3,21.72,6,0,1.04,0.89,0.84,1.13,0.76,1.40,0.70,1.40,0.70,1.13,0.84,1.41
3,27,3,22.97,4,0,1.08,0.90,0.83,1.15,0.76,1.40,0.70,1.40,0.70,1.13,0.84,1.41
3,33,3,23.25,6,0,1.11,0.87,0.82,1.16,0.76,1.40,0.70,1.40,0.70,1.13,0.84,1.41
3,34,3,27.50,1,0,1.10,0.86,0.82,1.16,0.76,1.40,0.70,1.40,0.70,1.13,0.84,1.41
4,34,4,28.95,2,2,1.12,0.87,0.82,1.16,0.76,1.40,0.70,1.40,0.70,1.13,0.84,1.41
4,46,4,25.65,12,0,1.14,0.86,0.82,1.17,0.76,1.40,0.70,1.40,0.70,1.13,0.84,1.50
4,59,4,23.13,14,1,1.17,0.84,0.80,1.19,0.76,1.40,0.70,1.40,0.70,1.13,0.84,1.50
4,71,4,23.76,12,0,1.18,0.84,0.80,1.20,0.76,1.40,0.70,1.40,0.70,1.13,0.84,1.50
5,75,5,26.62,5,1,1.19,0.84,0.79,1.20,0.76,1.40,0.70,1.40,0.70,1.13,0.84,1.50
5,89,5,22.85,19,5,1.19,0.83,0.79,1.21,0.76,1.40,0.70,1.40,0.70,1.13,0.84,1.50
5,113,5,21.17,26,2,1.21,0.82,0.78,1.22,0.76,1.40,0.70,1.40,0.70,1.07,0.84,1.50
5,152,5,18.71,42,3,1.20,0.82,0.78,1.22,0.76,1.40,0.70,1.24,0.70,1.07,0.84,1.50
6,197,6,18.55,46,1,1.21,0.82,0.78,1.23,0.70,1.40,0.70,1.24,0.70,1.07,0.84,1.50
6,234,6,19.02,41,4,1.21,0.83,0.77,1.23,0.70,1.40,0.70,1.31,0.70,1.07,0.84,1.50
6,290,6,18.80,60,4,1.22,0.82,0.77,1.23,0.70,1.40,0.70,1.31,0.70,1.11,0.84,1.50
6,381,6,17.86,95,4,1.21,0.81,0.77,1.23,0.70,1.40,0.70,1.31,0.70,1.11,0.84,1.50
7,529,7,16.57,153,5,1.21,0.81,0.77,1.23,0.70,1.40,0.70,1.31,0.70,1.11,0.78,1.50
7,677,7,16.63,157,9,1.21,0.82,0.77,1.23,0.70,1.40,0.70,1.31,0.70,1.12,0.78,1.50
7,800,7,13.43,208,85,1.22,0.82,0.77,1.23,0.70,1.40,0.70,1.31,0.70,1.12,0.78,1.50
7,800,7,10.46,207,207,1.22,0.82,0.77,1.23,0.70,1.40,0.70,1.31,0.70,1.16,0.78,1.50
8,800,8,11.14,152,152,1.22,0.83,0.77,1.23,0.70,1.40,0.70,1.39,0.70,1.16,0.78,1.50
8,800,8,11.56,166,166,1.22,0.83,0.77,1.23,0.70,1.40,0.70,1.39,0.70,1.16,0.78,1.50
8,800,8,10.99,203,203,1.22,0.82,0.77,1.23,0.70,1.40,0.70,1.39,0.70,1.17,0.78,1.50
8,800,8,10.44,203,203,1.22,0.81,0.77,1.24,0.70,1.40,0.70,1.40,0.70,1.30,0.70,1.50
9,800,9,11.34,148,148,1.21,0.82,0.78,1.23,0.70,1.40,0.70,1.40,0.70,1.30,0.70,1.50
9,800,9,11.13,189,189,1.22,0.82,0.78,1.23,0.70,1.40,0.70,1.40,0.70,1.30,0.70,1.50
9,800,9,10.46,212,212,1.22,0.82,0.78,1.23,0.70,1.40,0.70,1.40,0.70,1.30,0.70,1.50
9,800,9,10.12,202,202,1.22,0.82,0.78,1.23,0.70,1.40,0.70,1.40,0.70,1.17,0.70,1.50
10,800,10,11.06,153,153,1.22,0.82,0.78,1.23,0.70,1.40,0.70,1.40,0.70,1.17,0.70,1.50
10,800,10,10.72,201,201,1.22,0.82,0.78,1.22,0.70,1.40,0.70,1.40,0.70,1.18,0.70,1.50
10,800,10,10.10,217,217,1.23,0.82,0.79,1.22,0.70,1.40,0.70,1.40,0.70,1.18,0.70,1.50
11,800,11,9.65,214,214,1.23,0.82,0.79,1.22,0.70,1.40,0.70,1.40,0.70,1.18,0.70,1.50
11,800,11,10.76,152,152,1.23,0.82,0.79,1.22,0.70,1.40,0.70,1.40,0.70,1.18,0.70,1.50
11,800,11,10.35,209,209,1.23,0.82,0.79,1.22,0.70,1.40,0.70,1.40,0.70,1.23,0.70,1.50
11,800,11,10.19,202,202,1.23,0.82,0.79,1.22,0.70,1.40,0.70,1.40,0.70,1.23,0.70,1.50
12,800,12,9.77,213,213,1.23,0.82,0.79,1.22,0.70,1.40,0.70,1.39,0.70,1.30,0.71,1.50
12,800,12,10.98,147,147,1.22,0.82,0.79,1.22,0.70,1.40,0.70,1.39,0.70,1.30,0.71,1.50
12,800,12,10.53,212,212,1.22,0.82,0.80,1.22,0.70,1.40,0.70,1.39,0.70,1.30,0.71,1.50
12,800,12,10.16,210,210,1.22,0.82,0.79,1.21,0.70,1.40,0.70,1.39,0.70,1.30,0.70,1.50
13,800,13,9.71,211,211,1.21,0.82,0.80,1.21,0.70,1.40,0.70,1.39,0.70,1.30,0.70,1.50
13,800,13,10.83,150,150,1.21,0.83,0.80,1.21,0.70,1.40,0.70,1.39,0.70,1.30,0.70,1.50
13,800,13,10.62,203,203,1.21,0.83,0.80,1.21,0.70,1.40,0.70,1.39,0.70,1.26,0.70,1.50
13,800,13,10.07,215,215,1.22,0.83,0.80,1.21,0.70,1.40,0.70,1.40,0.70,1.26,0.70,1.50
14,800,14,8.75,247,247,1.21,0.83,0.80,1.22,0.70,1.40,0.70,1.40,0.70,1.29,0.70,1.50
14,800,14,10.92,110,110,1.21,0.83,0.80,1.21,0.70,1.40,0.70,1.40,0.70,1.29,0.70,1.50
14,800,14,10.82,196,196,1.21,0.83,0.80,1.21,0.70,1.40,0.70,1.40,0.70,1.29,0.70,1.50
14,800,14,10.16,219,219,1.22,0.83,0.80,1.21,0.70,1.40,0.70,1.40,0.70,1.29,0.70,1.50
15,800,15,8.51,261,261,1.22,0.82,0.79,1.20,0.70,1.40,0.70,1.40,0.70,1.18,0.70,1.50
15,800,15,10.86,104,104,1.22,0.82,0.80,1.20,0.70,1.40,0.70,1.40,0.70,1.18,0.70,1.50
15,800,15,10.86,193,193,1.22,0.82,0.80,1.20,0.70,1.40,0.70,1.40,0.70,1.18,0.70,1.50
15,800,15,10.13,226,226,1.22,0.83,0.80,1.20,0.70,1.40,0.70,1.40,0.70,1.30,0.70,1.50
