Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Var_Vision,Var_Speed,Var_Metabolism,Var_Memory,Avg_Fitness,Disaster
1,35,0.03333333333333333,0,0,1.0720033345327311,1.0217335609921137,1.0209532924945748,1.174498235691181,0.03230438094054557,0.03723436924487592,0.024483522168355382,0.055105605572850366,0.4268213711299162,N/A
2,37,11.382882882882853,2,0,1.0648900289527687,1.0330692995510882,1.0211384045294682,1.1901943289353558,0.031516848800995464,0.03802634818853836,0.02649501267321393,0.05647360320922414,0.42934482310513244,N/A
3,49,19.517006802721337,12,0,1.053975887093347,1.041755172454714,1.0156191665383862,1.168112775293252,0.03375757501450336,0.03915659239969427,0.03111205479376646,0.05347297142719147,0.4284865748074614,N/A
4,12,25.827777777778124,5,42,1.095347214678786,1.1499680138753565,0.8694330402735669,1.174604644601209,0.04274729615993719,0.03776501005072778,0.028030470826104575,0.05442244739792018,0.5244674348667916,N/A
