Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness
1,15,0.03333333333333333,0,0,0.9913018627907615,1.0725159820885959,0.9966890405052488,1.0555053351619315,1.0290030551366345
2,17,17.647058823529544,2,0,0.9909489743449936,1.0610654203175915,0.962947699515399,1.031209904805456,1.01154299974586
3,5,11.89333333333342,3,15,1.02579745253358,0.9976443121159457,0.7198361403090966,0.8571008541215838,0.9000946897700516
4,12,10.588888888888995,10,3,0.9279287996493676,0.9304600059264847,0.7433935322671625,0.9028667421983121,0.8761622700103318
5,12,14.680555555555655,6,6,0.8748990752735307,0.8428883941197945,0.741175921991886,0.9069512881517228,0.8414786698842335
6,17,12.982352941176545,13,8,0.9290336932906951,0.8050541898819477,0.7163148223956858,0.9012993050531629,0.8379255026553729
7,19,17.99473684210541,9,7,0.8996172530231096,0.8222439811208418,0.7235699725002491,0.9016511081349287,0.8367705786947823
8,22,19.430303030303183,13,10,0.9060869895804721,0.8305912752439142,0.722768727214822,0.8962436917577652,0.8389226709492434
9,22,22.06060606060622,14,14,0.8747507467435285,0.7913921196741952,0.7131283486530987,0.885381019447184,0.8161630586295016
10,29,21.06321839080476,21,14,0.8478751844709678,0.7375349321124411,0.7095835717279276,0.8838354245118463,0.7947072782057958
11,45,20.24000000000017,31,15,0.849994954300931,0.7325122218339927,0.7134249758407083,0.8864333673729766,0.7955913798371521
12,79,18.95527426160354,53,19,0.8502290879202105,0.7300134296314854,0.7143976984094879,0.9000955670236203,0.798683945746201
13,132,18.655555555555765,80,27,0.8477562253871241,0.7223702695669632,0.7191053206208888,0.9025751108443671,0.7979517316048358
14,208,18.553044871795052,141,65,0.8450039233766629,0.7283787932835661,0.7233587201156527,0.912236109835005,0.8022443866527217
15,379,17.6947229551453,248,77,0.8446748602082265,0.7382950791608723,0.7221885911412195,0.9126134585931491,0.8044429972758669
16,712,16.14386704119868,476,143,0.842667987426547,0.7467962053405399,0.7184120954812836,0.9095688790450644,0.8043612918233587
17,1409,14.865720369056232,950,253,0.8438800566504238,0.7494578260118409,0.7207215700519748,0.9109051428230983,0.8062411488843344
18,2887,13.967347881307164,1959,481,0.8492432714925311,0.7525517536075625,0.7211474872079837,0.9148311762337786,0.8094434221354639
19,5848,13.47992476060206,3936,975,0.8527054939346624,0.757953510277998,0.7213139882838796,0.9148917306326217,0.8117161807822905
