Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness
1,20,0.03333333333333333,0,0,0.9923509977706736,1.0547322702555273,0.9176606528470572,1.18692688406631,1.0379177012348921
2,29,13.793103448275968,9,0,1.0220576832556123,1.0225759356200543,0.8833261363548528,1.2261167854524169,1.0385191351707341
3,31,29.152688172043206,6,4,1.005638084324359,1.0085167632595584,0.8419533469986366,1.2531089233998112,1.0273042794955913
4,26,26.42307692307712,11,16,0.9069527089856718,0.894944821359257,0.7662447956112958,1.2609504413553667,0.9572731918278978
5,23,21.32028985507268,11,14,0.8272866366454338,0.7886933073250788,0.7496474148278607,1.2462722425608472,0.9029749003398051
6,25,23.07200000000025,11,9,0.86054706128061,0.7974465430322243,0.7472050654790694,1.2371069622829496,0.9105764080187133
7,30,25.23777777777796,16,11,0.891456508479624,0.8271115772542976,0.7354695091822354,1.3192611542667485,0.9433246872957264
8,39,25.023076923077067,22,13,0.9179715573325092,0.8391532788111761,0.7244104928862874,1.3627141485657934,0.9610623693989415
9,51,22.28300653594789,28,16,0.9547013070307556,0.8324186770555569,0.7227487708299756,1.3972992945098004,0.9767920123565221
10,94,18.04184397163137,63,20,0.9872553312025855,0.8317622607289198,0.7268932310236484,1.433330609626674,0.994810358145457
11,212,17.442295597484424,139,21,0.9990594135213763,0.8367146379406444,0.7268353746964856,1.4346762316990889,0.9993214144643988
12,499,15.729659318637417,347,60,0.9833587990667888,0.8377163546308082,0.7302634178332635,1.4301072447183742,0.9953614540623086
13,1240,14.990403225806583,837,96,0.9826384918766662,0.8411507682319576,0.7313253212244715,1.4295329415147788,0.9961618807119685
14,2870,14.83917537746819,1849,219,0.9906189656758172,0.8459888003929149,0.7298350391260809,1.4287485177432533,0.9987978307345166
15,6404,14.890230064543115,4018,484,0.9948982437483038,0.84965897443424,0.7295489083633621,1.4245126912010242,0.9996547044367325
