Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,30,0.03333333333333333,0,0,1.081519080853153,1.0690737411945601,1.015099352243531,1.0807076227724968,0.4244314197986003,N/A,1
2,32,11.28124999999997,2,0,1.0821669414110993,1.066436705273013,1.014966532513517,1.0657764044523297,0.4222641762943888,N/A,2
3,44,20.011363636363896,12,0,1.1093765056754994,1.0758893459739367,1.000796942035629,1.0832051157533924,0.43544910129384584,N/A,3
4,23,26.895652173913362,5,26,1.182235244911311,1.1103317368143557,0.906813165349789,1.066973056034368,0.49397019013123034,N/A,4
