Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Var_Vision,Var_Speed,Var_Metabolism,Var_Memory,Avg_Fitness,Disaster
1,65,0.03333333333333333,0,0,1.057628401938471,1.0681388328995163,0.9848487916918279,1.1336303590738437,0.03810575895704266,0.0277892752148889,0.024339107091697055,0.0443451847627524,0.4412721521527728,N/A
2,86,9.094961240310054,21,0,1.067308781531292,1.0808262310200674,0.9802002823763075,1.131121216005098,0.040180836734178785,0.02956048969483479,0.026290206855766725,0.0437713998811457,0.4460661475709203,N/A
3,115,17.450434782608887,29,0,1.072000825693412,1.0672909518635785,0.969375194938133,1.1417628368147208,0.042724219477997205,0.030094864269922965,0.025432223516501012,0.04302184005939369,0.4512947627165301,N/A
4,82,22.487804878049037,19,52,1.0641657117994672,1.0716149575037015,0.9324498011856764,1.1749498302146522,0.04235875677831538,0.035222931368039334,0.024771581994417344,0.0431232410238425,0.4734096491926237,N/A
5,57,25.03684210526344,13,38,1.0796104555758543,1.0593480815245484,0.8713473578865976,1.213181055993412,0.034607371109831274,0.04454388003354356,0.01608806687445181,0.03518388635383261,0.5129434796587874,N/A
6,36,22.51388888888918,9,30,1.0438777170578977,1.1072828928350757,0.853262104997376,1.2517101132506694,0.024393511084449326,0.04792297347148928,0.01235076838482806,0.02714189102213092,0.5317429354495331,N/A
7,22,25.901515151515454,4,18,1.0576801961717603,1.144268752095691,0.8454272972692712,1.2412786085122058,0.01755350254073458,0.055228571362085324,0.017383963026118304,0.02357769820539137,0.5430354674535628,N/A
