Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,75,0.03333333333333333,0,0,1.0928515844930455,1.0396527864381464,1.0167224629952512,1.0488021846379714,0.41719763538971105,N/A,1
2,88,8.551136363636344,13,0,1.0890802264257942,1.0449445921801837,1.011344557432598,1.0541365219227747,0.420319836215164,N/A,2
3,119,15.284033613445473,31,0,1.0746982049225564,1.0366582100881694,0.9992823036267616,1.048114032263315,0.4215652821773073,N/A,3
4,102,20.00261437908525,19,36,1.0684062614066383,1.034720013790604,0.9755107739423302,1.0497433234841342,0.430935899824689,N/A,4
5,73,19.50913242009155,17,46,1.0378832019691042,1.0476612581924745,0.9229602258448663,1.0610607787045567,0.4545671128981782,N/A,5
6,55,20.989696969697203,11,29,1.0461811304940345,1.0633025739638255,0.8861355926408702,1.0944526730139743,0.4820836907398383,N/A,6
7,39,20.71452991453015,7,23,1.0403538042305946,1.0726379507015427,0.8497610477256552,1.1435607522344315,0.5109754114026253,N/A,7
8,29,19.99540229885077,14,24,1.086112214607303,1.0364694062907038,0.8044453152243577,1.2736864523312237,0.562916750868188,N/A,8
9,23,17.211594202898723,8,14,1.0637035689541425,0.9803282097555719,0.8143197308756368,1.3627256986523846,0.5578083314111878,N/A,9
10,22,20.32727272727296,6,7,1.0843872694035188,0.9205902967472873,0.8390834058548989,1.3838687820243107,0.5384997207712855,N/A,10
11,15,21.197777777777983,2,9,1.0806702770243886,0.8719844051820916,0.8752903907862172,1.4026147929586947,0.5111095335497897,N/A,11
12,12,25.350000000000247,1,4,1.0581105694537598,0.843986929386442,0.8546004725529334,1.4009803737459352,0.5153406733977745,N/A,12
