Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,20,0.03333333333333333,0,0,1.0261840515790426,1.091266433134292,0.996551657729275,1.2107326799941454,0.44529327893093795,N/A,1
2,21,11.46031746031743,1,0,1.0282331973903605,1.0999377730199453,0.9936444599218808,1.2142781926258315,0.44851041431847316,N/A,2
3,28,22.925000000000377,9,2,0.960430234219342,1.1273769517738998,0.982994995071989,1.2210533688299599,0.44881348279647204,N/A,3
