Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,20,0.03333333333333333,0,0,1.0851229867913774,1.1120568960028374,1.013608854285154,1.1392609689743547,0.4388860440150212,N/A,1
2,21,11.523809523809494,1,0,1.078787483706263,1.0968556696954739,1.0168311779859145,1.1210575262508422,0.43228423767552177,N/A,2
3,27,23.266666666667057,6,0,1.0847665455081386,1.0807653564317574,1.0240626717876384,1.1187182358259062,0.4276105656740329,N/A,3
