Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,20,0.03333333333333333,0,0,1.0480945494548337,1.0360741723869697,0.9898269907379241,1.0575854989199696,0.4232058396952204,N/A,1
2,24,10.027777777777752,4,0,1.0546516693259276,1.04685550289577,0.9900655956315494,1.0301024606947806,0.421737663542568,N/A,2
3,36,16.99166666666686,12,0,1.0303663373461913,1.0121785944687984,0.9400627212958685,1.062549413359207,0.4404095279789913,N/A,3
4,26,21.317948717948948,5,15,0.9994624234822732,0.9823870562566769,0.8625932872828133,1.081236506560177,0.4734693288958788,N/A,4
5,19,25.719298245614336,4,11,0.95762603563615,0.9383651419920285,0.8007810295451299,1.1939769068707005,0.5144923885545561,N/A,5
6,9,24.222222222222484,1,11,0.9471575669801909,0.91966735976209,0.7480584413838165,1.2158282653863248,0.5494496190121323,N/A,6
