Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness
1,15,0.03333333333333333,0,0,1.0221555611534205,1.0112797633863402,0.945721848496334,1.0807974423993125,1.0149886538588517
2,24,12.500000000000094,9,0,1.0176348711463787,0.999211722330153,0.8765505192050697,0.998115426465053,0.9728781347866635
3,23,11.2652173913044,14,15,1.0552612656873903,0.9825343367223232,0.7726932971843342,0.8657555272539079,0.9190611067119889
4,25,17.23600000000009,14,12,1.0812033862598245,1.0061871704319798,0.7790622684469638,0.8417064841165138,0.9270398273138205
5,22,18.543939393939556,17,20,0.9913039762483554,1.0819368016068855,0.7523633281016671,0.8371557132559797,0.9156899548032219
6,23,15.904347826087058,20,19,0.9131740609476479,1.0929340925618551,0.7276790905893418,0.8575224130860338,0.8978274142962196
7,23,16.717391304347917,17,17,0.9344674746234772,1.0749401802378795,0.7204878539345946,0.8503105508305344,0.8950515149066214
8,27,15.570370370370425,22,18,0.949829640969643,1.1092223893539905,0.7278637761112863,0.8273831377133773,0.9035747360370744
9,39,16.898290598290675,34,22,0.9363448173942925,1.1784194683705633,0.7439932228452941,0.8194448929852965,0.9195506003988617
10,52,17.418589743589845,42,29,0.9596825421537568,1.1758200740021325,0.7523383276353898,0.8136006947677447,0.925360409639756
11,80,16.61833333333344,63,35,0.988220623270929,1.146652946481628,0.7436811571602671,0.8165892858989514,0.9237860032029439
12,128,16.002604166666714,118,70,1.0172432064524113,1.1646229012084681,0.7334124304488165,0.8173052771262075,0.9331459538089759
13,266,16.271428571428668,219,81,1.0208503873006378,1.1511533072860138,0.7301237720095682,0.8273379380987465,0.9323663511737414
14,574,17.084901277584336,443,135,1.031950859088493,1.1466383803471312,0.7309464258003525,0.8319579417365396,0.935373401743129
15,1240,16.62185483870984,885,219,1.0359095318161151,1.1407376998364671,0.7289991536485546,0.8304835152305222,0.9340324751329149
16,2635,15.3919544592032,1844,449,1.0386549641529423,1.1368086749689088,0.7295240334705497,0.8292692751804647,0.9335642369432163
17,5584,14.451522206303885,3842,893,1.0400609810896089,1.1340591865234966,0.7289456430495365,0.8318611111017962,0.9337317304411095
18,11624,13.790017779307336,7938,1898,1.0421421817309784,1.1331880667190737,0.7282710410750906,0.8350381819424811,0.9346598678669059
