Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,15,0.03333333333333333,0,0,1.1415677825712032,1.015640234321551,1.0387119427483262,1.0928385429418563,0.417189331784045,N/A,1
2,18,10.02777777777775,3,0,1.1465293789042772,1.0252781822659764,1.028421375529294,1.0907978079815381,0.4229920337822148,N/A,2
3,23,22.22173913043512,5,0,1.133327921929477,1.0549350960141453,0.9943247779302137,1.1132443493327837,0.44271347961361585,N/A,3
