Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Var_Vision,Var_Speed,Var_Metabolism,Var_Memory,Avg_Fitness,Disaster
1,50,0.03333333333333333,0,0,1.0231764434304613,1.0717590539963333,0.9868173094903225,1.0899251443633062,0.048109947478983915,0.03943679501698155,0.028672129621194805,0.061208556927288986,0.43032087245342127,N/A
2,61,9.86338797814205,11,0,1.018250739740965,1.081289223008217,0.986187291136692,1.0817172496233456,0.048042077259663966,0.04049051984102195,0.030495106755405815,0.059977864368189054,0.4301085930923283,N/A
3,89,17.46441947565562,28,0,1.0242218918443418,1.0687043179330842,0.9693294658798562,1.0800221164359023,0.04721044353519246,0.04292900250193452,0.02665716570648209,0.06118737605405637,0.4364458027121193,N/A
4,62,22.019892473118563,20,47,1.0412914713957029,1.0634916015193447,0.9326754752957983,1.087958355278356,0.052542982307482215,0.0461640784121115,0.022237964645480432,0.06345883991590927,0.4564276303689055,N/A
5,42,23.441269841270156,9,29,1.1181543149667963,1.0562319136720526,0.8739857191580934,1.087858557082419,0.05070135417011451,0.03824575714376078,0.018690271676391278,0.058968827460277984,0.49768086811361545,N/A
6,20,23.201666666666945,5,27,1.2298666936642584,1.0284034555182102,0.819985714822819,1.1655467769895416,0.03667927788725662,0.029600689825542953,0.013379232542973593,0.05846081732781525,0.5567278981052042,N/A
7,14,20.10476190476215,5,11,1.2294696323625118,0.9833911825259111,0.7572562638646693,1.2526365420904635,0.028589584328869832,0.02310661327604459,0.0027886736870853775,0.03045282501069167,0.6101848691296244,N/A
8,13,23.946153846154058,2,3,1.2039146785533055,0.9821941371323308,0.7493515789196252,1.283354451024996,0.02641710947812461,0.02830139807563142,0.0027168195455652866,0.030322655670552964,0.6173271869194286,N/A
