Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,30,0.03333333333333333,0,0,1.0875197411832147,1.0359026062930092,0.9394041310068059,1.0903103148759437,0.4561377517622581,N/A,1
2,32,11.28124999999997,2,0,1.0883267277557385,1.0395586488645567,0.9392378975888374,1.1089213099581934,0.4594940493617716,N/A,2
3,47,18.8780141843974,15,0,1.0883090407025016,1.0190908976314148,0.92538465010583,1.1072946429598283,0.46318678845978284,N/A,3
4,35,23.9333333333336,6,18,1.0888774153206366,1.001458827051986,0.872164376474363,1.09480959196637,0.4869335674565729,N/A,4
5,16,21.15208333333355,6,25,1.0750153930586366,0.9452757701129503,0.7786624637083235,1.0314680559731688,0.5225643307389741,N/A,5
6,9,26.62962962962994,4,11,1.037501171069967,0.9405424298704373,0.7218808813482293,1.0430832807575516,0.5580102312827593,N/A,6
