Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness
1,5,0.016666666666666666,0,0,0.9678290673167842,1.1179318822769433,1.081069560802505,1.0867902141835586,1.0634051811449479
2,7,14.28571428571439,2,0,0.9842197059187424,1.0897871408738937,1.0721961219526603,1.1380936485927082,1.0710741543345013
3,12,25.66249999999961,5,0,0.9987271689225311,1.0993836441593245,1.042375167709215,1.167113204725401,1.0768997963791178
4,18,19.987037037036828,11,5,0.9288699245772849,1.241501485426606,0.9195071959316279,1.2266830810509637,1.0791404217466205
5,20,25.580833333333096,7,5,0.9124342634899915,1.2890695603450966,0.890776318678418,1.235708290399602,1.0819971082282769
6,36,22.408796296296096,24,8,0.8771426372643022,1.3632986699415293,0.7981425899486392,1.245900243490071,1.0711210351611355
7,74,18.078153153153018,49,11,0.8799771763480867,1.362895332271077,0.771682475035772,1.2473307493662804,1.0654714332553041
8,184,14.19773550724629,131,21,0.8857097468751737,1.3607704837788368,0.7560657690083564,1.2477273339016448,1.062568333391003
9,506,13.387779973649502,371,49,0.889306699410173,1.3590898487606555,0.7464768375562967,1.2465745598409246,1.0603619863920124
10,1615,13.75500515995869,1203,94,0.8873961851068594,1.3561034612424072,0.7444384313730232,1.2538549993601371,1.0604482692706068
11,5785,13.475197349466981,4437,267,0.8879185481823358,1.3527333322345123,0.741278367804336,1.256273662019826,1.0595509775602525
