Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness
1,15,0.03333333333333333,0,0,1.0853225464490603,1.0249391296268477,1.038530265135846,1.0744320477650737,1.0558059972442069
2,18,16.666666666666792,3,0,1.0547798923921627,1.0150355711693766,0.9946295827388112,1.0537193904157125,1.0295411091790159
3,6,10.000000000000076,3,15,0.9330791603993801,0.9654323663212064,0.7751261707536389,0.9428565105278893,0.9041235520005286
4,6,10.000000000000076,3,3,0.9330791603993801,0.9958171616524827,0.7829692327511933,0.9355569173868722,0.9118556180474822
5,4,15.000000000000114,1,3,0.9941581958511985,1.05680028371707,0.7908122947487479,0.9355569173868722,0.9443319229259721
