Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness
1,5,0.016666666666666666,0,0,1.0577261251749162,0.9544888273316661,0.99857348571822,1.0907597492417849,1.0253870468666468
2,8,13.37500000000004,3,0,1.1530226248389712,1.0083760640500434,0.9837330738394765,1.2142963970067884,1.0898570399338199
3,11,27.266666666666286,3,0,1.0979260406692164,1.0136108901492777,0.9542128211962319,1.237117541066401,1.0757168232702818
4,15,25.003333333333057,9,5,1.1454094219009774,1.0149448238432444,0.8510413750073627,1.274507228710206,1.0714757123654477
5,21,25.00555555555524,11,5,1.1040501845872608,0.9924005189647259,0.7908440854991053,1.1786955472863472,1.0164975840843598
6,45,17.56407407407389,31,7,1.0460324862442163,0.9549090837705292,0.7489178796372773,1.0782216037810044,0.9570202633582569
7,120,16.24097222222202,81,6,1.049078412986483,0.9423965115408326,0.736926165652588,1.0423683212948733,0.9426923528686941
8,297,16.85465768799083,190,13,1.053007205930326,0.9522900919156697,0.7366928074759557,1.042583657287335,0.9461434406523215
9,763,17.4600043687198,494,28,1.0654176644626412,0.9520504698029415,0.730614933583017,1.0468085689183393,0.9487229091917349
10,2289,16.766950633464283,1612,86,1.0704157972408104,0.962141642126763,0.7265554394510071,1.0460865190488127,0.9512998494668482
11,7783,15.784108527131682,5703,209,1.0786354245948475,0.9655649795802504,0.7241614186212125,1.043929443692993,0.9530728166223258
12,27392,15.005389651479653,20203,594,1.0810931041172203,0.966260100261678,0.7243018320886357,1.041874408508949,0.9533823612441208
