Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness
1,20,0.03333333333333333,0,0,1.0995927348626124,1.0806243603069527,0.9018421267081281,1.0357168433439274,1.0294440163054053
2,22,18.181818181818322,2,0,1.1173330840594298,1.0942339775153236,0.8857601830056143,1.0202847666894685,1.029403002817459
3,24,34.325000000000166,5,3,1.1431740992320918,1.0816158831679725,0.8336950137538017,1.0124618116912243,1.0177367019612726
4,9,30.429629629629783,2,17,1.3012359499492971,1.2016378447344982,0.7204268976777749,0.919933251491637,1.0358084859633019
5,10,12.813333333333414,8,7,1.3117221115263533,1.360879552576455,0.7079526063612659,0.8948245827127478,1.0688447132942056
6,11,22.65151515151529,4,3,1.30245727398158,1.356584841338329,0.710844463219908,0.8939018707411214,1.0659471123202346
7,14,29.385714285714403,6,3,1.2826040506713514,1.351007228508802,0.7113608662303799,0.9015088835911182,1.061620257250413
8,12,23.45000000000013,5,7,1.2381181243650985,1.319023838856724,0.7033135859838607,0.9269076665635939,1.0468408039423192
9,15,21.54000000000014,8,5,1.2098088985338467,1.2528215158548226,0.7,0.9367035797862121,1.0248334985437204
10,17,25.9803921568629,9,7,1.2098088985338467,1.2216382540868287,0.7148955414014591,0.9244530859655655,1.017698944996925
11,17,29.962745098039324,6,6,1.1935768139903622,1.2540554881653743,0.7,0.9197564819354269,1.016847196022791
12,9,22.74814814814832,4,12,1.1791482943961538,1.3535118767685002,0.7,0.9464307013000359,1.0447727181161726
