Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster
1,10,0.03333333333333333,0,0,0.9488440580513698,0.9780441116686631,1.037472851970628,1.1462006977124217,1.0276404298507706,N/A
2,11,10.939393939393911,1,0,0.9281083761286822,0.9925865129679313,1.0383847758615636,1.1105639196696053,1.0174108961569457,N/A
3,24,13.727777777777918,13,0,0.9652720850443934,0.9487919488386213,0.9534385841120628,1.1695619615773623,1.00926614489311,N/A
4,36,9.708333333333384,22,10,0.9924539233021855,0.9426783428404364,0.8574853655062042,1.1660777628155676,0.9896738486160985,N/A
5,77,10.838961038961118,45,4,1.015490231862349,0.9562230114356101,0.8304016159808717,1.1590672807118751,0.9902955349976765,N/A
6,181,10.466298342541508,114,10,1.0121074955354241,0.9762463084892093,0.8231909766431373,1.1627229677103303,0.9935669370945253,N/A
7,491,9.350916496945064,333,23,1.0115877134607687,0.9818057732636248,0.8213975132997239,1.158529783534588,0.9933301958896763,N/A
8,1323,9.189896699420553,890,58,1.0027123119973604,0.9894600385718143,0.8147559685844763,1.145101361505532,0.9880074201647958,N/A
9,1102,9.587658802177835,1888,2109,0.988403384060189,1.000211427825447,0.7939461197325464,1.1150364015278076,0.9743993332864975,Global Warming
10,5104,9.418638975966605,4002,0,0.986487913299848,1.0059396506365619,0.7893345178876882,1.1099503539344828,0.9729281089396451,N/A
11,4454,6.624644514294254,2805,3455,0.9886818940787927,1.0131424748964712,0.7774245811917472,1.09612110218528,0.9688425130880727,Alien Invasion
12,13708,8.971843692247882,9254,0,0.9873390714415072,1.016248340033695,0.7726951371580972,1.0964310792659167,0.9681784069748041,N/A
13,9232,6.5416088965915495,5086,9562,0.9912600388177778,1.016982784193627,0.7740201268028523,1.0971575427189741,0.9698551231333079,Alien Invasion
14,29660,9.053868285007912,20428,0,0.9901341593257997,1.0194710541621173,0.7683038567206453,1.0940220328899295,0.9679827757746229,N/A
15,14671,6.370229250448715,8128,23117,0.988793638997792,1.0149611856178506,0.7749147565443246,1.0850198443153192,0.9659223563688215,Disease
16,46534,8.964515551353177,31863,0,0.9893018088925044,1.015450363006469,0.7685182545902693,1.0825302688606775,0.9639501738374802,N/A
17,29315,6.60134402183181,16255,33474,0.9948711217810104,1.0117725483924447,0.7727005954103469,1.0874415479946595,0.9666964533946153,Fire Nation
18,94359,9.092012773909618,65044,0,0.995045622554687,1.011605178484341,0.765674044163107,1.0875548019373618,0.9649699117848742,N/A
19,43430,6.442677872438391,24087,75016,0.9979498694508105,1.0083080727346447,0.7806340653392311,1.089453193900677,0.9690863003563408,Clown Invasion
