Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,40,0.03333333333333333,0,0,1.133424597661351,1.0312129738679452,0.9977905199921882,1.130851491114417,0.4403715337857374,N/A,1
2,42,11.46031746031743,2,0,1.1425296669383975,1.0340905360077433,0.9983647492196047,1.1192689695583058,0.44017168075171664,N/A,2
3,63,20.548148148148424,23,2,1.1508480435743174,1.0176806408094747,0.9816153651559403,1.0991397079256573,0.4438491230273064,N/A,3
4,41,21.632520325203505,10,32,1.1502923162913448,1.0048626584524645,0.9192200733321262,1.0745022382356113,0.4684634009020388,N/A,4
