Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Var_Vision,Var_Speed,Var_Metabolism,Var_Memory,Avg_Fitness,Disaster
1,45,0.03333333333333333,0,0,1.1216114925244347,1.0333237522455605,0.9812844626788051,1.0805939572937633,0.03343006863285839,0.04249453492322836,0.028713819553695657,0.055417455210988106,0.4396318397122208,N/A
2,55,9.845454545454519,10,0,1.1202558615639617,1.0320897284037382,0.9687288335434763,1.0741957193599054,0.0333262954805063,0.04736578981998453,0.028000939599026022,0.05351482524535454,0.44409280803247597,N/A
3,77,17.53982683982704,22,0,1.1389934606403544,1.022130311401065,0.9329009713186108,1.0849758482592846,0.031055275743083165,0.04898795630362524,0.028786168158690215,0.051865094324630746,0.46394343667045346,N/A
4,61,22.249180327869084,16,32,1.1653318203404595,1.018360852273882,0.8911185491754077,1.0836717279714192,0.03207960886514089,0.057173825964852786,0.024405467317372427,0.04696126102535959,0.48887837330722544,N/A
5,55,23.77151515151543,13,19,1.2046483641812382,1.023411672391629,0.8577791713124097,1.0866907515205142,0.02486248629886399,0.061584371590199416,0.0189319867684358,0.03674968932915613,0.5152453994302183,N/A
6,38,25.35350877193011,5,22,1.2406120440118178,1.0250406788724262,0.8598592008529546,1.0998198532431893,0.022970664021206306,0.06595321066900042,0.023699283243681746,0.04440546414135723,0.5218641335370544,N/A
