Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Var_Vision,Var_Speed,Var_Metabolism,Var_Memory,Avg_Fitness,Disaster
1,85,0.03333333333333333,0,0,1.062325687369557,1.0622675342571892,1.013902783842982,1.0702033487884997,0.0363291442092504,0.038569643611814156,0.029593415791997833,0.05160783524662275,0.42013187343347347,N/A
2,116,8.81752873563216,31,0,1.0657255298912183,1.0577214308802667,1.0184503955328101,1.0644908627337115,0.034494110596503105,0.03894018926696105,0.02894113920876321,0.05566352629782925,0.4173579570804595,N/A
3,149,17.774720357942027,33,0,1.0668271545738963,1.062293851729513,0.992344905678861,1.0715485684001333,0.03321720224534247,0.039607011978038315,0.030110876907817143,0.05493780063155764,0.43004800130642373,N/A
4,122,20.54371584699477,32,59,1.070446966698307,1.0960897916379564,0.9554852633224546,1.0742804249844615,0.03523377858740243,0.03888438369747647,0.026818397119715884,0.057063737683628823,0.45224031637447626,N/A
5,94,20.858865248227225,23,51,1.043660173040039,1.08238683897655,0.8795465718519858,1.1032789372558491,0.03274240719508785,0.0395320639875825,0.017996605233377382,0.05350287148700824,0.4895440526016678,N/A
6,67,19.875124378109692,21,48,1.0322354690772944,1.0968791057188148,0.8282563110695926,1.1425826031533188,0.034863025243047546,0.036933591900605224,0.010283573502004218,0.04578812080119201,0.526680309661539,N/A
7,59,20.86384180790985,16,24,1.0317858860927465,1.0764465623321404,0.8095951890257855,1.1391361677456278,0.03463732552703931,0.037534257139858,0.007886788446132548,0.051770618541769044,0.5348135562380153,N/A
8,43,23.282170542635946,16,32,1.01235561174067,1.0656161527853938,0.7950871375156878,1.1482943806102792,0.0366055393458685,0.043462360376315526,0.006391147002017078,0.050650669786119686,0.541033553499065,N/A
9,36,23.556481481481782,9,16,0.99620989101525,1.083022429118863,0.7864657421915585,1.1916018185019455,0.03844051352241297,0.04057565260965439,0.006319281915974355,0.049950986047448104,0.5545202989637465,N/A
10,26,20.375641025641237,9,19,0.9308459533944112,1.0599722178240292,0.7513234268425972,1.1832506790094213,0.020034457230508083,0.030592992879264938,0.002211897901808873,0.04300567774251925,0.5632849514740929,N/A
11,22,18.230303030303244,7,11,0.9011562418247838,1.0997660552704447,0.747332170390484,1.1598825582954688,0.019293063280827083,0.040783920470455724,0.0019996604672530495,0.042635102679987484,0.5639268107048329,N/A
12,20,22.91500000000025,7,9,0.8864895608091243,1.1049320214432892,0.746988397142405,1.1067393977869713,0.014848348018880252,0.04173110771946199,0.0012974735227418992,0.03773762588839104,0.5530047484702327,N/A
