Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness
1,20,0.03333333333333333,0,0,0.9786806002630932,1.0429582027153466,0.9579935593924226,1.1346238657535956,1.0285640570311145
2,22,18.181818181818322,2,0,0.9951955673835928,1.03578556259148,0.9407452037780306,1.1475961984898757,1.0298306330607447
3,27,31.258024691358226,7,2,0.9941638848369094,1.0610245104753457,0.8958681742373131,1.1344699250161474,1.021381623641429
4,22,21.97727272727287,13,18,0.8934797941767784,1.197392748416798,0.7258883358917777,1.1770206844653173,0.9984453907376678
5,28,23.133333333333503,13,7,0.8729595418889787,1.2298066523428262,0.7201001402997086,1.1599681372492967,0.9957086179452026
6,41,20.84065040650423,23,10,0.827489042367691,1.2459446227205475,0.7156631209780591,1.1661095474775218,0.9888015833859547
7,46,22.193478260869774,27,22,0.8173712377726718,1.2425109265815013,0.722249642324553,1.1567608517933798,0.9847231646180266
8,48,26.72500000000022,24,22,0.8433998413818884,1.2432737647436498,0.7119824048813665,1.1543418840370925,0.9882494737609994
9,42,25.702380952381088,26,32,0.8581381084795596,1.2385899203517339,0.7047384144483858,1.1390987102461614,0.9851412883814601
10,56,23.39880952380967,36,22,0.877427455667061,1.2312469897022338,0.706810891753484,1.125475783364554,0.9852402801218332
11,82,23.383333333333507,47,21,0.8867053409961845,1.2433483340192995,0.7024634792336657,1.1386049911147953,0.9927805363409863
12,122,21.46885245901652,88,48,0.9238869232402298,1.236619418700275,0.7022841248312737,1.129622923316171,0.9981033475219875
13,235,20.917588652482433,157,44,0.9377033859157717,1.2244735807476683,0.7062826756128007,1.12325400720229,0.9979284123696327
14,444,19.722672672672854,296,87,0.9486732272803056,1.2145922937336326,0.7087074109552137,1.1134928987082569,0.9963664576693523
15,882,18.324754346183095,590,152,0.9481569214579961,1.2112407119459574,0.7110236964477165,1.1043460826466334,0.9936918531245758
16,1783,16.707010656197596,1185,284,0.9411064617765087,1.2071261038936345,0.7132154712305265,1.1003261862691853,0.9904435557924638
17,3701,15.18368909303808,2479,561,0.9400189981680668,1.2021518829218705,0.7150805849415925,1.1013839426226357,0.9896588521635413
18,7752,14.44876160990727,5138,1087,0.9432627134815659,1.1985056493985875,0.7153643546835005,1.1028246580676235,0.9899893439078193
