Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster,Recovery_Rate
1,30,0.03333333333333333,0,0,1.044094043810951,1.1676041705408375,0.9495321930826279,1.1155504437737156,0.46721233639956117,N/A,1
2,33,10.96969696969694,3,0,1.0491553315745124,1.1759075505678862,0.9453639811519756,1.1094954534980443,0.4703032767798224,N/A,2
3,54,16.91666666666686,21,0,1.0219284973094338,1.1705993297842598,0.9122540959709794,1.1288208382246783,0.4854420393013001,N/A,3
4,43,19.443410852713384,15,26,1.0165245706434423,1.150242633765091,0.8606863415764874,1.1972835389466476,0.5211423458776514,N/A,4
5,40,20.503333333333558,12,15,1.0220927417972938,1.1353433470903902,0.8511684030200348,1.2382716132495937,0.5319288466832103,N/A,5
6,31,18.36666666666685,9,18,1.073413672448096,1.1129041933003416,0.8306006881072321,1.2683004126350883,0.5545574149484336,N/A,6
7,30,19.18777777777801,12,13,1.1158330003337686,1.1201742980965077,0.8242376557227594,1.273399809902046,0.567701493044905,N/A,7
8,21,21.18730158730179,8,17,1.1739356822172695,1.1381932420043692,0.8060077365722704,1.2439433162190714,0.5882610598857207,N/A,8
9,16,26.293750000000397,3,8,1.1866691869228116,1.140423385601352,0.7859971637029721,1.2079844215082802,0.599675954279202,N/A,9
10,8,21.450000000000134,2,10,1.1832188041852418,1.0864118274225496,0.7721027527686813,1.3294140626186963,0.6215139425110078,N/A,10
11,7,21.304761904762184,2,3,1.1993839877889372,1.0761014009061054,0.7639038602613709,1.3238507905117898,0.6282354567454451,N/A,11
