Generation,Population,Avg_Age,Births,Deaths,Avg_Vision,Avg_Speed,Avg_Metabolism,Avg_Memory,Avg_Fitness,Disaster
1,10,0.03333333333333333,0,0,1.0669413486123354,0.990550865788629,1.082550058907862,1.1246195766420732,1.0661654624877248,N/A
2,15,8.0222222222222,5,0,1.0746563397725388,1.007836089492425,1.0546376118505942,1.1245490191317713,1.0654197650618324,N/A
3,22,16.224242424242572,7,0,1.0509719129958224,0.9849029561006035,1.0443363767062097,1.080954896869149,1.040291535667946,N/A
4,24,14.512500000000118,12,10,0.9676668482641317,0.95454700101747,0.975134520359417,1.0857005800145134,0.995762237413883,N/A
5,31,16.26774193548405,13,6,0.9145848243588163,0.9308900252372614,0.9527616314599074,1.1436622251025272,0.9854746765396282,N/A
6,43,13.985271317829593,22,10,0.8860358898979153,0.9266258339478611,0.9056805741611282,1.1769261854327393,0.973817120859911,N/A
7,72,11.92314814814824,42,13,0.9083619929204172,0.9249253591619628,0.8856743393052627,1.1834035378653627,0.9755913073132514,N/A
8,122,12.859562841530167,61,11,0.9151988918617177,0.9244241546989801,0.8329078311250468,1.173702645322536,0.9615583807520702,N/A
9,225,12.214370370370464,128,25,0.9215928476366442,0.9250098544832003,0.7999054755528475,1.1888165697932944,0.9588311868664966,N/A
10,479,11.35128740431462,298,44,0.9261555388907751,0.9224900171680016,0.7848357139856521,1.1863370128481125,0.9549545707231353,N/A
11,1081,10.555134135060191,690,88,0.9330705871899622,0.9209675364579002,0.7775187665025113,1.1854941074641951,0.9542627494036422,N/A
12,2507,10.457744980720712,1588,162,0.9354200940033056,0.9217024221590806,0.7727146067223885,1.1846324657984248,0.9536173971707999,N/A
13,1031,9.317943743937901,809,2285,0.946497614389988,0.9190576481323361,0.7747434735168176,1.1925522635699706,0.9582127499022781,Fungus Takeover
14,3457,10.465953138559511,2426,0,0.9445056142531479,0.9212792375392928,0.7724460545907962,1.1893841378137333,0.9569037610492426,N/A
15,7883,9.638969935303852,5229,803,0.9455800084356032,0.9217413744731305,0.7719830364619225,1.1892806005994117,0.9571462549925169,N/A
16,4378,8.14288868585349,2079,5584,0.9467362602231595,0.9211700945562201,0.7705071940214372,1.193613865586806,0.9580068535969057,Storm
17,12011,10.75726694974059,7633,0,0.9477270411761685,0.9231180712939164,0.7672035650177566,1.1928589457307992,0.9577269058046601,N/A
